timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
14565000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15078000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
15584000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16088000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
16595000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17105000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17611000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
17968000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18471000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18484000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
18696000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
18796000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
18912000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19420000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
19923000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20427000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20441000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
20452000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
20956000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21456000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
21963000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22476000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
22984000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
23492000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24003000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
24504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25016000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25450000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25463000,1,0,1,0,0,1,1,1,1,1,0,1,1,0
25492000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
25996000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
26504000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27008000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
27508000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28020000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
28528000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29032000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
29532000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30039000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
30552000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31056000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
31556000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32060000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
32560000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33064000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
33567000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34070000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
34576000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35085000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
35592000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36092000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
36599000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37108000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
37619000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38123000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
38632000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39140000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
39646000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40152000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
40655000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41156000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
41656000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42165000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
42672000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43172000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
43682000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44188000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
44692000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45196000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45468000,1,0,1,0,0,1,1,1,1,1,1,1,1,0
45480000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
45983000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
46487000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
46987000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
47490000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
48000000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
48505000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
49012000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
49512000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
50016000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
50502000,1,0,1,0,1,0,1,1,0,1,1,1,1,0
50794000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
51296000,0,0,1,0,1,0,1,1,0,1,1,1,1,0
